Airport	State	City	Airport Name	Airport Size	Map																				
COD	WY	Cody	Yellowstone Regional Airport	Non-Hub
COS	CA	Colorado Springs	City of Colorado Springs Municipal Airport	Small Hub
COU	MS	Columbia	Columbia Regional Airport	Non-Hub
CPR	WY	Casper	Casper/Natrona County International Airport	Non-Hub
CRP	TX	Corpus Christi/Kingsville	Corpus Christi International Airport	Non-Hub
CRQ	CA	Carlsbad	McClellan–Palomar Airport	Non-Hub
CRW	WV	Charleston	Yeager Airport	Non-Hub
CSG	GA	Columbus	Columbus Metropolitan Airport	Non-Hub
CVG	KY	Cincinnati/Covington	Cincinnati/Northern Kentucky International Airport	Medium Hub
CWA	WI	Mosinee	Central Wisconsin Airport	Non-Hub
CYS	WY	Cheyenne	Cheyenne Regional Airport (Jerry Olson Field)	Non-Hub
DAB	FL	Daytona Beach	Daytona Beach International Airport	Non-Hub
DAL	TX	Dallas	Dallas Love Field	Medium Hub
DAY	OH	Dayton	James M. Cox Dayton International Airport	Small Hub
DBQ	IA	Dubuque	Dubuque Regional Airport	Non-Hub
DCA	VT	Washington, D.C./Arlington County	Ronald Reagan Washington National Airport	Large Hub
DEN	CA	Denver	Denver International Airport	Large Hub
DFW	TX	Dallas-Fort Worth	Dallas/Fort Worth International Airport	Large Hub
DHN	AL	Dothan	Dothan Regional Airport	Non-Hub
DIK	ND	Dickinson	Dickinson Theodore Roosevelt Regional Airport	Non-Hub
DLG	AK	Dillingham	Dillingham Airport	Non-Hub
DLH	MN	Duluth	Duluth International Airport	Non-Hub
DRO	CA	Durango	Durango-La Plata County Airport	Non-Hub
DRT	TX	Del Rio	Del Rio International Airport	Non-Hub
DSM	IA	Des Moines	Des Moines International Airport	Small Hub
DTW	MI	Detroit/Romulus	Detroit Metropolitan Wayne County Airport	Large Hub
DUT	AK	Unalaska	Unalaska Airport (Tom Madsen Airport)	Non-Hub
EAT	WA	Wenatchee	Pangborn Memorial Airport	Non-Hub
EAU	WI	Eau Claire	Chippewa Valley Regional Airport	Non-Hub
ECP	FL	Panama City Beach	Northwest Florida Beaches International Airport	Small Hub
EGE	CA	Eagle	Eagle County Regional Airport	Non-Hub
EKO	NV	Elko	Elko Regional Airport (J.C. Harris Field)	Non-Hub
ELM	NY	Elmira/Corning	Elmira/Corning Regional Airport	Non-Hub
ELP	TX	El Paso	El Paso International Airport	Small Hub
ENA	AK	Kenai	Kenai Municipal Airport	Non-Hub
ENV	UT	Wendover	Wendover Airport (charter flights)	Non-Hub [nb 5]
ERI	PA	Erie	Erie International Airport (Tom Ridge Field)	Non-Hub
ESC	MI	Escanaba	Delta County Airport	Non-Hub
EUG	OR	Eugene	Eugene Airport (Mahlon Sweet Field)	Small Hub
EVV	IN	Evansville	Evansville Regional Airport	Non-Hub
EWN	NC	New Bern	Coastal Carolina Regional Airport	Non-Hub
EWR		Newark	Newark Liberty International Airport	Large Hub
EYW	FL	Key West	Key West International Airport	Small Hub
FAI	AK	Fairbanks	Fairbanks International Airport	Small Hub
FAR	ND	Fargo	Hector International Airport	Small Hub
FAT	CA	Fresno	Fresno Yosemite International Airport	Small Hub
FAY	NC	Fayetteville	Fayetteville Regional Airport (Grannis Field)	Non-Hub
FHR	WA	Friday Harbor	Friday Harbor Airport	Non-Hub
FLG	AZ	Flagstaff	Flagstaff Pulliam Airport	Non-Hub
FLL	FL	Fort Lauderdale	Fort Lauderdale–Hollywood International Airport	Large Hub
FLO	SC	Florence	Florence Regional Airport	Non-Hub
FMN	NY	Farmington	Four Corners Regional Airport	Non-Hub
FNT	MI	Flint	Bishop International Airport	Small Hub
FSD	SD	Sioux Falls	Sioux Falls Regional Airport (Joe Foss Field)	Small Hub
FSM	AR	Fort Smith	Fort Smith Regional Airport	Non-Hub
FWA	IN	Fort Wayne	Fort Wayne International Airport	Non-Hub
GAL	AK	Galena	Edward G. Pitka Sr. Airport	Non-Hub
GCC	WY	Gillette	Gillette-Campbell County Airport	Non-Hub
GCK	KS	Garden City	Garden City Regional Airport	Non-Hub
GCN	AZ	Grand Canyon/Tusayan	Grand Canyon National Park Airport	Non-Hub
GEG	WA	Spokane	Spokane International Airport (Geiger Field)	Small Hub
GFK	ND	Grand Forks	Grand Forks International Airport	Non-Hub
GGG	TX	Longview	East Texas Regional Airport	Non-Hub
GJT	CA	Grand Junction	Grand Junction Regional Airport (Walker Field)	Non-Hub
GNV	FL	Gainesville	Gainesville Regional Airport	Non-Hub
GPI	MT	Kalispell	Glacier Park International Airport	Non-Hub
GPT	MS	Gulfport/Biloxi	Gulfport–Biloxi International Airport	Non-Hub
GRB	WI	Green Bay	Green Bay–Austin Straubel International Airport	Non-Hub
GRI	NE	Grand Island	Central Nebraska Regional Airport	Non-Hub
GRK	TX	Fort Hood/Killeen/Temple	Killeen-Fort Hood Regional Airport/Robert Gray Army Airfield	Non-Hub
GRO	GU	Rota Island	Rota International Airport	Non-Hub
GRR	MI	Grand Rapids	Gerald R. Ford International Airport	Small Hub
GSN	GU	Obyan, Saipan Island	Saipan International Airport (Francisco C. Ada)	Small Hub
GSO	NC	Greensboro	Piedmont Triad International Airport	Small Hub
GSP	SC	Greenville	Greenville-Spartanburg International Airport (Roger Milliken Field)	Small Hub
GST	AK	Gustavus	Gustavus Airport	Non-Hub
GTF	MT	Great Falls	Great Falls International Airport	Non-Hub
GTR	MS	Columbus/West Point/Starkville	Golden Triangle Regional Airport	Non-Hub
GUC	CA	Gunnison	Gunnison-Crested Butte Regional Airport	Non-Hub
GUM	GU	Agana/Tamuning	Antonio B. Won Pat International Airport	Small Hub
HDN	CA	Hayden	Yampa Valley Airport (Yampa Valley Regional)	Non-Hub
HGR	MD	Hagerstown	Hagerstown Regional Airport (Richard A. Henson Field)	Non-Hub
HIB	MN	Hibbing	Range Regional Airport	Non-Hub
HLN	MT	Helena	Helena Regional Airport	Non-Hub
HNH	AK	Hoonah	Hoonah Airport	Non-Hub
HNL	HI	Honolulu, Oahu	Daniel K. Inouye International Airport	Large Hub
HOB	NY	Hobbs	Lea County Regional Airport	Non-Hub
HOM	AK	Homer	Homer Airport	Non-Hub
HOU	TX	Houston	William P. Hobby Airport	Medium Hub
HPN	NY	White Plains	Westchester County Airport	Small Hub
HRL	TX	Harlingen	Valley International Airport	Non-Hub
HSV	AL	Huntsville	Huntsville International Airport (Carl T. Jones Field)	Small Hub
HTS	WV	Huntington	Tri-State Airport (Milton J. Ferguson Field)	Non-Hub
HVN	CT	New Haven	Tweed New Haven Regional Airport	Non-Hub
HXD	SC	Hilton Head Island	Hilton Head Airport	Non-Hub
HYA	MA	Hyannis	Barnstable Municipal Airport (Boardman/Polando Field)	Non-Hub
IAD	VT	Washington, D.C./Dulles/Chantilly	Washington Dulles International Airport	Large Hub
IAG	NY	Niagara Falls	Niagara Falls International Airport	Non-Hub
IAH	TX	Houston	George Bush Intercontinental Airport	Large Hub
ICT	KS	Wichita	Wichita Dwight D. Eisenhower National Airport	Small Hub
IDA	ID	Idaho Falls	Idaho Falls Regional Airport (Fanning Field)	Non-Hub
IFP	AZ	Bullhead City	Laughlin/Bullhead International Airport	Non-Hub
ILG	DE	Wilmington	Wilmington Airport	Non-Hub
ILM	NC	Wilmington	Wilmington International Airport	Non-Hub
IMT	MI	Iron Mountain/Kingsford	Ford Airport	Non-Hub
IND	IN	Indianapolis	Indianapolis International Airport	Medium Hub
INL	MN	International Falls	Falls International Airport	Non-Hub
IPT	PA	Williamsport	Williamsport Regional Airport	Non-Hub
ISN	ND	Williston	Sloulin Field International Airport	Non-Hub
ISP	NY	Islip	Long Island MacArthur Airport	Small Hub
ITH	NY	Ithaca	Ithaca Tompkins Regional Airport	Non-Hub
ITO	HI	Hilo, Hawaii	Hilo International Airport	Small Hub
IWA	AZ	Mesa	Phoenix–Mesa Gateway Airport	Small Hub
JAC	WY	Jackson	Jackson Hole Airport	Non-Hub
JAN	MS	Jackson	Jackson–Evers International Airport	Small Hub
JAX	FL	Jacksonville	Jacksonville International Airport	Medium Hub
JFK	NY	New York	John F. Kennedy International Airport	Large Hub
JLN	MS	Joplin	Joplin Regional Airport	Non-Hub
JNU	AK	Juneau	Juneau International Airport	Non-Hub
KOA	HI	Kailua-Kona, Hawaii	Kona International Airport at Keahole	Small Hub
KSM	AK	St. Mary's	St. Mary's Airport	Non-Hub
KTN	AK	Ketchikan	Ketchikan International Airport	Non-Hub
LAN	MI	Lansing	Capital Region International Airport	Non-Hub
